id;category;subcategories;creationdate;contactagreement;status;forwardtoreponseconso;tags;signalement_transmis;signalement_lu;signalement_reponse;dep_name;dep_code;reg_code;reg_name
994d5248-8dd6-4e82-98b3-4c3fa6735871;AchatInternet;Une commande effectuée,Commande jamais livrée et le site est toujours ouvert;2023-09-03;1;NA;0;Internet,Litige contractuel;0;0;0;Meurthe-et-Moselle;54;44;Grand Est
33f11689-0613-4e6e-8b3d-e520ab60ddb6;CafeRestaurant;J'ai été malade après avoir mangé,Oui,A emporter;2023-08-20;0;PromesseAction;0;Produit dangereux;1;1;1;Paris;75;11;Île-de-France
acb60f6a-8b2b-4925-b470-a56a7bb44b1a;DemarchesAdministratives;Autre,Une entreprise privée;2023-08-28;0;NA;0;Internet;0;0;0;;;;
ed341673-6909-4128-b0a9-c7b714351fe6;AchatMagasin;Un magasin physique,Un problème qui concerne le magasin de façon générale,Hygiène,Hygiène des locaux et du matériel;2023-08-21;0;PromesseAction;0;hygiène,Produit alimentaire;1;1;1;La Réunion;974;04;La Réunion
ab61e62a-2233-4a15-a8b6-c99a2fd9b8d3;Internet;Un influenceur ou une influenceuse,Publicité trompeuse;2023-06-21;0;NonConsulte;0;Influenceur;1;0;0;Paris;75;11;Île-de-France
9defe3f7-48b8-47e2-8f8a-9fc00b390e89;TravauxRenovations;Rénovation énergétique,Démarchage téléphonique;2023-12-19;1;Infonde;0;Démarchage téléphonique,Litige contractuel;1;1;1;Val-d'Oise;95;11;Île-de-France
f0554dcc-9bc8-424d-8cc4-01c29b71d60c;CafeRestaurant;Hygiène,Hygiène des locaux et du matériel,Je trouve les locaux sales ou dégradés;2019-12-27;0;ConsulteIgnore;0;;1;1;0;Tarn-et-Garonne;82;76;Occitanie
71ce7acd-be8e-4705-81de-e007e620e9bd;TravauxRenovations;Rénovation énergétique,chauffage,Contrat,Contrat non respecté;2023-08-28;1;NonConsulte;0;Litige contractuel;1;0;0;Nord;59;32;Hauts-de-France
f4f7c254-d4a4-451f-97f0-9473c823ed32;TravauxRenovations;Rénovation énergétique,Démarchage téléphonique;2024-01-02;1;NA;0;Démarchage téléphonique,Litige contractuel;0;0;0;Mayenne;53;52;Pays de la Loire
a2b35b70-5231-4628-b2c6-eb052a5eb245;BanqueAssuranceMutuelle;Assurance / Mutuelle,Remboursement / indemnisation;2024-01-04;1;NA;0;Internet,Litige contractuel;0;0;0;;;;
573e2c8a-a01a-4a1e-acf7-0814de8802f7;AchatMagasinInternet;un magasin / commerce physique,Un problème avec un produit en particulier,C'est un aliment ou une boisson,Problème de quantité,La quantité annoncée est non conforme,Un produit emballé et étiqueté par le magasin comme une barquette de viande;2021-01-21;1;ConsulteIgnore;0;;1;1;0;Hauts-de-Seine;92;11;Île-de-France
e00d338c-938d-4050-a88c-073fda0c32e2;AchatInternet;Une commande effectuée,Commande jamais livrée et le site est toujours ouvert;2023-09-01;1;PromesseAction;0;Internet,Litige contractuel;1;1;1;Loire-Atlantique;44;52;Pays de la Loire
8d2b63e8-f967-4167-b770-3e0ea2bad6fc;Coronavirus;Problème avec les règles d'hygiène ou de distanciation physique,Non, pas sur internet;2020-08-21;0;ConsulteIgnore;0;;1;1;0;Aude;11;76;Occitanie
2c4999b6-8d26-46d6-bca5-48f6af1eff02;VoitureVehiculeVelo;Réparation, révision, vente de véhicule,Prestation mal réalisée ou pas réalisée;2024-01-04;1;Infonde;0;;1;1;1;Val-d'Oise;95;11;Île-de-France
cfc6d7c5-7355-49d7-8811-2b7f82574348;TravauxRenovations;Dépannage,Prestation,Autre;2023-09-01;1;NonConsulte;0;Litige contractuel;1;0;0;Moselle;57;44;Grand Est
aa6096da-155e-4d8d-abb0-668f8182d182;AchatInternet;Problème de résiliation d’abonnement,Je n’arrive pas à me résilier;2024-01-02;1;NA;0;Résiliation,Internet,Litige contractuel;0;0;0;;;;
9f6204f7-e4c0-4c5b-9559-728e216e2191;ServicesAuxParticuliers;Autre type d'entreprise de service,Autre;2023-08-16;1;PromesseAction;0;Internet;1;1;1;Paris;75;11;Île-de-France
47fe1df4-650c-467d-a639-0f274ffed89b;DemarchesAdministratives;Autre,Une entreprise privée;2023-08-28;1;NA;0;Internet;0;0;0;Ille-et-Vilaine;35;53;Bretagne
5a7b274e-57fb-4cef-a489-a3f55d743ac9;AchatInternet;Une commande effectuée,Livraison en retard ou colis perdu,L'entreprise m'a imposé le transporteur sur une liste lors de la commande;2023-08-28;1;NA;0;Internet,Litige contractuel;0;0;0;Marne;51;44;Grand Est
e0a0d0cb-901e-4428-b16e-aacf18013494;AchatInternet;Une commande effectuée,Commande jamais livrée et le site est toujours ouvert;2024-01-02;1;NA;0;Internet,Litige contractuel;0;0;0;;;;
0a89a586-372b-40ed-97e1-35558009bda3;AchatInternet;Une commande effectuée,Commande jamais livrée et le site est toujours ouvert;2023-08-21;1;NA;0;Internet,Litige contractuel;0;0;0;;;;
00a69d6a-9d0b-4051-9693-e61f2657107e;VoyageLoisirs;Transports en commun,Retard / Annulation / Remboursement;2023-08-03;1;Infonde;0;Internet,Litige contractuel;1;1;1;Paris;75;11;Île-de-France
ae71364d-be02-4487-90cc-65756137aee0;TravauxRenovations;Rénovation énergétique,Démarchage téléphonique;2023-08-28;0;NA;0;Démarchage téléphonique;0;0;0;Rhône;69;84;Auvergne-Rhône-Alpes
0970d3da-5ade-470f-b689-24ad48b6a656;TravauxRenovations;Rénovation énergétique,Démarchage téléphonique;2024-01-02;0;NA;0;Démarchage téléphonique;0;0;0;Rhône;69;84;Auvergne-Rhône-Alpes
